Word,Synonyms
animated,inspire;animate;invigorate;enliven;exalt|animize;animise;animate|enliven;liven;liven up;invigorate;animate|animate;recreate;reanimate;revive;renovate;repair;quicken;vivify;revivify
animated,alive
annihilated,eliminate;annihilate;extinguish;eradicate;wipe out;decimate;carry off
annihilated,exterminated;wiped out
announced,announce;denote|announce;declare|announce|announce;annunciate;harbinger;foretell;herald
announced,proclaimed
annoyed,annoy;rag;get to;bother;get at;irritate;rile;nark;nettle;gravel;vex;chafe;devil
annoyed,irritated;miffed;nettled;peeved;pissed;pissed off;riled;roiled;steamed;stung|harassed;harried;pestered;vexed
annoying,annoyance;irritation;vexation
annoying,annoy;rag;get to;bother;get at;irritate;rile;nark;nettle;gravel;vex;chafe;devil
annoying,bothersome;galling;irritating;nettlesome;pesky;pestering;pestiferous;plaguy;plaguey;teasing;vexatious;vexing
annual,yearly;yearbook
annual,one-year
annual,yearly
anodyne,analgesic;painkiller;pain pill
anodyne,analgesic;analgetic
anonymous,anon.
anorexic,anorectic
anorexic,anorectic
another,some other
answering,answer;reply;respond|answer|answer|answer;resolve|answer|answer|suffice;do;answer;serve|answer|answer|answer
answering,respondent
antagonistic,counter|antipathetic;antipathetical
antagonistic,incompatible
antarctic,Antarctic;Antarctic Zone;South Frigid Zone
antarctic,south-polar;Antarctic
antenatal,prenatal;antepartum
anterior,front tooth
anterior,prior
anthropogenic,anthropogenetic
anthropomorphic,anthropomorphous;humanlike
antiaircraft,antiaircraft gun;flak;flack;pom-pom;ack-ack;ack-ack gun
antibiotic,antibiotic drug
antiblack,racist;anti-Semite
anticancer,antineoplastic;antitumor;antitumour
anticipated,expect;anticipate|anticipate;foresee;forestall;counter|anticipate;previse;foreknow;foresee|predict;foretell;prognosticate;call;forebode;anticipate;promise|anticipate;look for;look to|anticipate
anticipated,awaited;hoped-for
anticlimactic,anticlimactical
antiguan,Antiguan
antiguan,Antiguan
antiquated,antiquate|antique;antiquate
antiquated,antediluvian;archaic
antisemitic,anti-semitic
antisocial,asocial
antithetical,antithetic
antitrust,antimonopoly
antiviral,antiviral agent;antiviral drug
anxious,dying|nervous;queasy;uneasy;unquiet
apart,isolated;obscure
apart,aside|aside|asunder
apathetic,indifferent
apocalyptic,apocalyptical;revelatory
apocryphal,Apocryphal
apolitical,unpolitical
apologetic,excusatory
apostate,deserter;renegade;turncoat;recreant;ratter
apostolic,apostolical|papal;apostolical;pontifical
appalachian,Appalachian
appalachian,Appalachian
appalled,shock;offend;scandalize;scandalise;appal;appall;outrage|dismay;alarm;appal;appall;horrify|shock;offend;scandalize;scandalise;appal;appall;outrage|dismay;alarm;appal;appall;horrify
appalled,aghast;dismayed;shocked
appalling,shock;offend;scandalize;scandalise;appal;appall;outrage|dismay;alarm;appal;appall;horrify|shock;offend;scandalize;scandalise;appal;appall;outrage|dismay;alarm;appal;appall;horrify
appalling,dismaying
apparent,evident;manifest;patent;plain;unmistakable|ostensible;seeming
appealing,appeal|appeal;invoke|attract;appeal|appeal|invoke;appeal
appealing,sympathetic;likeable;likable
appellate,appellant
appetizing,appetising
applied,use;utilize;utilise;apply;employ|apply;hold;go for|apply|put on;apply|lend oneself;apply|give;apply|practice;apply;use|enforce;implement;apply|apply|apply
appointed,appoint;name;nominate;constitute|appoint;charge|appoint
appointed,appointive
appointed,decreed;ordained;prescribed
apportioned,allocate;apportion|share;divvy up;portion out;apportion;deal
apportioned,dealt out;doled out;meted out;parceled out
appreciated,appreciate|appreciate;take account|prize;value;treasure;appreciate|appreciate;apprize;apprise;revalue|appreciate;apprize;apprise
appreciated,apprehended;comprehended
apprehended,grok;get the picture;comprehend;savvy;dig;grasp;compass;apprehend|collar;nail;apprehend;arrest;pick up;nab;cop|apprehend;quail at
apprehended,appreciated;comprehended
apprehensive,discerning|worried
approachable,accessible|reachable
approaching,approach|approach;coming|approach;coming
approaching,approach;near;come on;go up;draw near;draw close;come near|border on;approach|set about;go about;approach|approach;come near|approach
approaching,coming;forthcoming;upcoming
appropriate,allow;earmark;set aside;reserve|capture;seize;conquer
approved,approve;O.K.;okay;sanction|approve
approved,sanctioned
approving,blessing;approval
approving,approve;O.K.;okay;sanction|approve
approving,affirmative;approbative;approbatory;plausive
approximate,come close|estimate;gauge;guess;judge
approximate,approximative;rough|near|close together
apt,disposed;given;minded;tending|liable|clever|apposite;pertinent
arabian,Arab;Arabian|Arabian;Arab
arabian,Arabian|Arabian
arabic,Arabic;Arabic language
arabic,Arabic
arch,archway
arch,curve;arc
arch,condescending;patronizing;patronising|impish;implike;mischievous;pixilated;prankish;puckish;wicked
archaeological,archeological;archaeologic;archeologic
archaic,antediluvian;antiquated|primitive
archeological,archaeological;archaeologic;archeologic
archetypal,archetypical;prototypal;prototypic;prototypical
arctic,Arctic;Arctic Zone;North Frigid Zone|galosh;golosh;rubber;gumshoe
arctic,north-polar;Arctic|frigid;gelid;glacial;icy;polar
ardent,fervent;fervid;fiery;impassioned;perfervid;torrid|warm
arduous,backbreaking;grueling;gruelling;hard;heavy;laborious;operose;punishing;toilsome|straining;strenuous
argentine,Argentine;Argentinian
argentinian,Argentinian
argentinian,Argentine;Argentinian
arguable,debatable;disputable;moot
arid,waterless|desiccate;desiccated
armed,arm;build up;fortify;gird|arm
armenian,Armenian|Armenian;Armenian language|Armenian;Armenian alphabet
armenian,Armenian
armored,armor;armour
armored,armoured|armoured
armored,panoplied
armoured,armor;armour
armoured,armored|armored
aroused,arouse;elicit;enkindle;kindle;evoke;fire;raise;provoke|wake up;awake;arouse;awaken;wake;come alive;waken|raise;conjure;conjure up;invoke;evoke;stir;call down;arouse;bring up;put forward;call forth|stimulate;arouse;brace;energize;energise;perk up|awaken;wake;waken;rouse;wake up;arouse|arouse;stir|arouse;sex;excite;turn on;wind up
aroused,stimulated;stirred;stirred up|wound up|horny;randy;ruttish;steamy;turned on|ablaze;aflame|emotional;excited;worked up
arranged,arrange;set up|arrange;fix up|stage;arrange|format;arrange|dress;arrange;set;do;coif;coiffe;coiffure|arrange;set|arrange;set up;put;order
arranged,ordered
arranged,staged
arresting,collar;nail;apprehend;arrest;pick up;nab;cop|check;turn back;arrest;stop;contain;hold back|catch;arrest;get|halt;hold;arrest
arresting,sensational;stunning
arrogant,chesty;self-important
articulate,joint|give voice;formulate;word;phrase|pronounce;enounce;sound out;enunciate;say|enunciate;vocalize;vocalise
articulate,articulated
articulated,joint;articulate|give voice;formulate;word;phrase;articulate|pronounce;articulate;enounce;sound out;enunciate;say|articulate|articulate;enunciate;vocalize;vocalise
articulated,articulate
artificial,unreal
artificial,contrived;hokey;stilted
artistic,aesthetic;esthetic
aryan,Aryan|Aryan;Indo-European
aryan,Indo-European;Indo-Aryan;Aryan
ascending,rise;ascent;ascension
ascending,ascend;go up|ascend|ascend|ascend;climb up|ascend|ascend|rise;come up;uprise;ascend|ascend;move up;rise
ascetic,abstainer
ascetic,ascetical
ascetic,ascetical;austere;spartan
ashen,blanched;bloodless;livid;white
asian,Asian;Asiatic
asian,Asian;Asiatic
asleep,benumbed;numb|at peace;at rest;deceased;departed;gone
aspiring,draw a bead on;aspire;aim;shoot for
aspiring,aspirant;wishful
assamese,Assamese|Assamese;Asamiya
assamese,Assamese
assassinated,assassinate|assassinate
asserted,assert;asseverate;maintain|affirm;verify;assert;avow;aver;swan;swear|assert;put forward|insist;assert
asserting,assert;asseverate;maintain|affirm;verify;assert;avow;aver;swan;swear|assert;put forward|insist;assert
asserting,declarative;declaratory
assertive,self-asserting;self-assertive
